puits 48964,NOUN
piano 48982,NOUN,HAS_EXAMPLE
genou 48753,NOUN
brisé 48835,ADJECTIVE
gamin 48723,ADJECTIVE
filet 48593,NOUN
vidéo 48522,ADJECTIVE
pente 48710,NOUN
amène 48254,ADJECTIVE
canon 48015,ADJECTIVE,HAS_EXAMPLE
serre 48073,NOUN,HAS_EXAMPLE
drôle 47425,ADJECTIVE,HAS_EXAMPLE
rejet 47240,NOUN
métro 47176,NOUN
monté 47126,ADJECTIVE,HAS_EXAMPLE
messe 47094,NOUN
paume 47172,NOUN
démon 47024,NOUN
juive 46770,ADJECTIVE
tabac 46415,ADJECTIVE
nette 46192,ADJECTIVE
bleue 46033,ADJECTIVE
villa 45928,NOUN
légal 45935,ADJECTIVE
bâton 45861,NOUN
chaos 45822,NOUN
gamme 45748,NOUN,HAS_EXAMPLE
fière 45589,ADJECTIVE
durer 45437,VERB,HAS_EXAMPLE
laine 45355,NOUN
mètre 45073,NOUN
chœur 43994,NOUN,HAS_EXAMPLE
latin 43936,ADJECTIVE
dirai 43787,VERB
veuve 43801,NOUN
teint 43459,ADJECTIVE
chers 43575,ADJECTIVE
bouge 43386,NOUN,HAS_EXAMPLE
lente 43161,ADJECTIVE
orage 42394,NOUN
prime 42139,ADJECTIVE,HAS_EXAMPLE
tendu 42061,ADJECTIVE
obéir 41928,VERB,HAS_EXAMPLE
riant 41918,ADJECTIVE
louer 41743,VERB
enfer 41707,NOUN
miens 41524,ADJECTIVE
match 41474,NOUN
sèche 41460,ADJECTIVE
grise 41515,ADJECTIVE
issus 41436,ADJECTIVE
élite 41426,NOUN
vendu 41408,ADJECTIVE
réels 41375,ADJECTIVE
néant 41007,NOUN
coton 40861,NOUN
flanc 40398,NOUN
forcé 40208,ADJECTIVE
laver 40051,VERB
béton 39960,NOUN,HAS_EXAMPLE
songe 39578,NOUN
loger 39577,VERB,HAS_EXAMPLE
ennui 39380,NOUN
veste 39298,NOUN,HAS_EXAMPLE
paroi 39280,NOUN
