envoyé 125102,NOUN
saisir 124857,VERB
battre 124447,VERB
chaîne 124337,NOUN,HAS_EXAMPLE
arrêté 123844,ADJECTIVE
malade 123756,ADJECTIVE,HAS_EXAMPLE
totale 124132,ADJECTIVE
offrir 122417,VERB,HAS_EXAMPLE
charme 122023,NOUN,HAS_EXAMPLE
gestes 120993,NOUN,PLURAL
tendit 120547,VERB,3PS,INFLECTED_FORM
saisit 120223,VERB,3PS,FORM_OF,INFLECTED_FORM
minute 119717,INTERJECTION
réelle 119399,ADJECTIVE
viande 119355,NOUN
destin 119141,NOUN
animal 118516,ADJECTIVE
entend 118219,VERB,3PS,INFLECTED_FORM
rouges 118252,NOUN,PLURAL
disent 117919,VERB,INFLECTED_FORM,SUBJ
cartes 117441,NOUN,PLURAL
portée 117512,NOUN,HAS_EXAMPLE
impact 117072,NOUN
ennemi 116473,ADJECTIVE,HAS_EXAMPLE
traces 117058,NOUN,PLURAL
ajoute 116457,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
contre 116173,NOUN
amitié 116130,NOUN
champs 116388,NOUN,PLURAL
essayé 115341,PARTICIPLE
grosse 114262,ADJECTIVE
revoir 113626,VERB
change 113818,NOUN,HAS_EXAMPLE
poussa 113021,VERB,3PS,INFLECTED_FORM
divers 112266,ADJECTIVE
miroir 111768,NOUN
repose 111721,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
refuse 111714,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
publié 111369,PARTICIPLE
limite 110834,ADJECTIVE,HAS_EXAMPLE
séance 110764,NOUN
traité 110954,NOUN
cercle 110463,NOUN
revint 109884,VERB,3PS,INFLECTED_FORM
soumis 109326,ADJECTIVE
nation 109024,NOUN
retard 109031,NOUN
sortes 109155,NOUN,PLURAL
dépend 108455,VERB,3PS,INFLECTED_FORM
tenant 107986,NOUN,HAS_EXAMPLE
pousse 108229,NOUN
avance 107962,NOUN,HAS_EXAMPLE
devais 107563,VERB
canapé 107485,NOUN
alcool 107141,NOUN
rendez 106764,VERB,FORM_OF,IMP,INFLECTED_FORM
promis 106589,PARTICIPLE
savent 106125,VERB
firent 106114,VERB
locale 105811,ADJECTIVE
pareil 104963,ADJECTIVE,HAS_EXAMPLE
poésie 104763,NOUN
légère 104076,ADJECTIVE
normes 103934,NOUN,PLURAL
prêtre 102780,NOUN
direct 102750,ADJECTIVE
lancer 102771,NOUN
estime 103140,NOUN,HAS_EXAMPLE
causes 102046,NOUN,PLURAL
église 101574,NOUN
secoua 101387,VERB,3PS,INFLECTED_FORM
décrit 101447,PARTICIPLE
courte 100388,ADJECTIVE
écoles 100513,NOUN,PLURAL
accent 100327,NOUN,HAS_EXAMPLE
décret 99801,NOUN
soupir 99581,NOUN
vallée 99881,NOUN
fameux 99384,ADJECTIVE,HAS_EXAMPLE
rendit 99257,VERB,3PS,INFLECTED_FORM
établi 99451,ADJECTIVE
voulut 99213,VERB,3PS,INFLECTED_FORM
obligé 98458,ADJECTIVE
crédit 98031,NOUN,HAS_EXAMPLE
empire 97256,NOUN
assise 96806,ADJECTIVE
former 96255,VERB
gardes 96086,NOUN,PLURAL
privée 96505,ADJECTIVE
témoin 96854,NOUN
médias 96077,NOUN,PLURAL
obtenu 95745,PARTICIPLE
blancs 95433,ADJECTIVE
tendre 94728,ADJECTIVE
révèle 94617,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
froide 94481,ADJECTIVE
vendre 94039,VERB,HAS_EXAMPLE
vagues 93545,ADJECTIVE
office 93370,NOUN,HAS_EXAMPLE
chiens 92821,NOUN,PLURAL
trajet 92781,NOUN
seules 93060,ADJECTIVE
temple 92558,NOUN,HAS_EXAMPLE
épouse 92341,NOUN
allant 92163,ADJECTIVE
bouger 92342,VERB
talent 92077,NOUN,OBSOLETE
stress 91694,NOUN
décida 91266,VERB,3PS,INFLECTED_FORM
prénom 90873,NOUN,HAS_EXAMPLE
étapes 90875,NOUN,PLURAL
locaux 90678,ADJECTIVE
aurais 90496,VERB,HAS_EXAMPLE
prière 90152,NOUN
fidèle 89608,ADJECTIVE,HAS_EXAMPLE
tâches 89046,NOUN,PLURAL
perdue 88889,ADJECTIVE
tables 88596,NOUN,PLURAL
venant 88861,ADJECTIVE
réduit 88458,NOUN
diable 88350,ADVERB,HAS_EXAMPLE
solide 88322,ADJECTIVE
revenu 87922,NOUN,HAS_EXAMPLE
vivent 87441,VERB,INFLECTED_FORM,SUBJ
reçoit 87801,VERB,3PS,INFLECTED_FORM
banque 86801,NOUN
pensez 87338,VERB,FORM_OF,IMP,INFLECTED_FORM
écrits 86907,NOUN,PLURAL
claire 86627,ADJECTIVE
moteur 86698,ADJECTIVE
placer 86121,VERB
pencha 85848,VERB,3PS,INFLECTED_FORM
motifs 85363,NOUN,PLURAL
calcul 85989,NOUN,HAS_EXAMPLE
quitte 85010,ADJECTIVE
occupé 84979,ADJECTIVE,HAS_EXAMPLE
intime 84712,ADJECTIVE
connue 84532,ADJECTIVE
fleuve 83966,NOUN,HAS_EXAMPLE
assure 83840,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
arriva 83952,VERB,3PS,INFLECTED_FORM
vivant 83543,ADJECTIVE,HAS_EXAMPLE
désert 83743,ADJECTIVE
vivait 83450,VERB,3PS,INFLECTED_FORM
restée 83226,PARTICIPLE
actuel 82680,ADJECTIVE
prises 83128,NOUN,PLURAL
parfum 82666,NOUN,HAS_EXAMPLE
écoute 82087,NOUN
douche 81961,NOUN
passée 81944,PARTICIPLE
cadeau 81398,NOUN
savons 81230,NOUN,PLURAL
refusé 80701,PARTICIPLE
libres 80381,ADJECTIVE
nuages 80390,NOUN,PLURAL
couper 79635,VERB,HAS_EXAMPLE
mépris 79672,NOUN
boulot 79326,NOUN,HAS_EXAMPLE
royale 79256,ADJECTIVE
climat 79225,NOUN
romans 79074,ADJECTIVE
offert 79040,PARTICIPLE
désirs 78758,NOUN,PLURAL
quelle 78667,ADJECTIVE,HAS_EXAMPLE
dessin 78654,NOUN,HAS_EXAMPLE
enjeux 78650,NOUN,PLURAL
rentre 77888,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
mienne 78030,ADJECTIVE
tourné 77726,PARTICIPLE
assuré 77595,ADJECTIVE
fortes 77439,ADJECTIVE
croyez 77511,VERB,FORM_OF,IMP,INFLECTED_FORM
voient 77594,VERB,INFLECTED_FORM,SUBJ
dirige 77421,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
glissa 77333,VERB,3PS,INFLECTED_FORM
gueule 76948,NOUN
voyais 76616,VERB
frappé 76326,ADJECTIVE
ménage 76198,NOUN,HAS_EXAMPLE
récits 76329,NOUN,PLURAL
évoque 76121,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
routes 76126,NOUN,PLURAL
salles 75876,NOUN,PLURAL
riches 75839,ADJECTIVE
comité 75609,NOUN
