salarié 67641,ADJECTIVE
magique 67397,ADJECTIVE,HAS_EXAMPLE
abandon 67395,NOUN,HAS_EXAMPLE
vivante 67009,ADJECTIVE
relatif 67047,ADJECTIVE,HAS_EXAMPLE
gratuit 66905,ADJECTIVE,HAS_EXAMPLE
suprême 66753,ADJECTIVE
regardé 66695,PARTICIPLE
prêtres 66389,NOUN,PLURAL
servait 66266,VERB,3PS,INFLECTED_FORM
adopter 66379,VERB
flammes 65952,NOUN,PLURAL
faisons 66076,VERB,FORM_OF,IMP,INFLECTED_FORM
fromage 65837,NOUN,HAS_EXAMPLE
imposer 66010,VERB,HAS_EXAMPLE
équipes 65391,NOUN,PLURAL
globale 65441,ADJECTIVE
superbe 65272,ADJECTIVE
mention 65105,NOUN
hanches 65366,NOUN,PLURAL
billets 64996,NOUN,PLURAL
emplois 65025,NOUN,PLURAL
jardins 64934,NOUN,PLURAL
associé 64914,NOUN
chinois 64831,ADJECTIVE
sincère 64803,ADJECTIVE
monstre 64787,ADJECTIVE
gravité 64726,NOUN,HAS_EXAMPLE
majeure 64613,ADJECTIVE
étendue 64545,NOUN
tempête 64505,NOUN
annonça 64257,VERB,3PS,INFLECTED_FORM
termine 64245,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
miracle 64022,NOUN
pension 63971,NOUN,HAS_EXAMPLE
accords 63915,NOUN,PLURAL
concert 63738,NOUN
antique 63681,ADJECTIVE
réalise 63720,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
retrait 63827,NOUN
souffre 63578,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
cadavre 63613,NOUN
mentale 63402,ADJECTIVE
fraîche 63330,ADJECTIVE
modeste 63444,ADJECTIVE
choisit 63249,VERB,3PS,FORM_OF,INFLECTED_FORM
évaluer 63265,VERB
marquis 63107,NOUN
galerie 62973,NOUN
colline 62950,NOUN,HAS_EXAMPLE
fiction 62901,NOUN
devoirs 62656,NOUN,PLURAL
chanter 62664,VERB,HAS_EXAMPLE
normale 62541,ADJECTIVE
aperçut 62513,VERB,3PS,INFLECTED_FORM
éditeur 62410,NOUN
aveugle 62298,ADJECTIVE,HAS_EXAMPLE
comédie 62086,NOUN,HAS_EXAMPLE
inquiet 62309,ADJECTIVE
définit 61983,VERB,3PS,FORM_OF,INFLECTED_FORM
réussit 62066,VERB,3PS,FORM_OF,INFLECTED_FORM
confier 61960,VERB,HAS_EXAMPLE
courses 61720,NOUN,HAS_EXAMPLE,PLURAL,RARE
occuper 62089,VERB,HAS_EXAMPLE
médical 61675,ADJECTIVE
matinée 61674,NOUN,HAS_EXAMPLE
ampleur 61657,NOUN
furieux 61574,ADJECTIVE
ignorer 61440,VERB
paradis 61398,NOUN
content 61433,ADJECTIVE
chasser 61319,VERB,HAS_EXAMPLE
imaginé 61237,PARTICIPLE
sortait 61243,VERB,3PS,INFLECTED_FORM
évoquer 61162,VERB
appelée 61133,PARTICIPLE
racines 60908,NOUN,PLURAL
réponds 60837,VERB,FORM_OF,IMP,INFLECTED_FORM
prépare 60697,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
mesurer 61006,VERB,HAS_EXAMPLE
mondial 60547,ADJECTIVE
parvint 60181,VERB,3PS,INFLECTED_FORM
pensant 60233,ADJECTIVE,HAS_EXAMPLE
annoncé 60194,PARTICIPLE
citoyen 60124,ADJECTIVE
dépasse 60115,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
fragile 59964,ADJECTIVE
légende 60067,NOUN
observa 59957,VERB,3PS,INFLECTED_FORM
deviner 59923,VERB
admirer 59919,VERB
bureaux 59918,NOUN,PLURAL
milieux 59810,NOUN,PLURAL
secrets 59768,ADJECTIVE
restant 59749,ADJECTIVE
chargés 59717,PARTICIPLE
experts 59599,ADJECTIVE
chargée 59559,ADJECTIVE
réservé 59177,ADJECTIVE
tendant 59102,PARTICIPLE
posture 58979,NOUN
pensent 58805,VERB,INFLECTED_FORM,SUBJ
féminin 58835,ADJECTIVE
aborder 58717,VERB
séances 58736,NOUN,PLURAL
déposer 58663,VERB,HAS_EXAMPLE
minimum 58619,NOUN
éthique 58564,ADJECTIVE
hommage 58544,NOUN,HAS_EXAMPLE
communs 58415,ADJECTIVE
chômage 58194,NOUN,HAS_EXAMPLE
accepte 58307,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
étroite 58014,ADJECTIVE
séparer 58096,VERB
sortant 57958,ADJECTIVE,HAS_EXAMPLE
limiter 57884,VERB
plainte 57830,NOUN
gouttes 57365,NOUN,PLURAL
combats 57481,VERB,FORM_OF,IMP,INFLECTED_FORM
prévoir 57566,VERB
divorce 57176,NOUN
tromper 57110,VERB,HAS_EXAMPLE
désolée 57280,PARTICIPLE
notions 56905,VERB,FORM_OF,INFLECTED_FORM,SUBJ
attaque 56754,NOUN
indiqué 56252,ADJECTIVE
rigueur 56189,NOUN
attaché 56011,ADJECTIVE
bateaux 56007,NOUN,PLURAL
prétend 55966,VERB,3PS,INFLECTED_FORM
aimable 55930,ADJECTIVE,HAS_EXAMPLE
rendant 55771,PARTICIPLE
empêche 55841,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
prévues 55557,PARTICIPLE
récente 55499,ADJECTIVE
joindre 55704,VERB,HAS_EXAMPLE
reprise 55384,NOUN,HAS_EXAMPLE
rentrée 55365,NOUN,HAS_EXAMPLE
malaise 55270,ADJECTIVE
violent 55069,ADJECTIVE
italien 55060,ADJECTIVE
prévoit 54520,VERB,3PS,INFLECTED_FORM
profite 54492,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
enlever 54332,VERB,HAS_EXAMPLE
dommage 54318,INTERJECTION
volumes 54337,NOUN,PLURAL
couvrir 54252,VERB
chaînes 54205,NOUN,PLURAL
esclave 54279,NOUN
repérer 54166,VERB
veiller 54157,VERB
fournit 54071,VERB,3PS,FORM_OF,INFLECTED_FORM
viendra 54136,VERB,3PS,INFLECTED_FORM
occupée 54015,PARTICIPLE
talents 54013,NOUN,PLURAL
détruit 53963,PARTICIPLE
dégager 54040,VERB
révolte 53873,NOUN
déteste 53863,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
énormes 53633,ADJECTIVE
navires 53488,NOUN,PLURAL
recueil 53286,NOUN
proposa 53215,VERB,3PS,INFLECTED_FORM
restera 52996,VERB,3PS,INFLECTED_FORM
voulant 52900,PARTICIPLE
